Matchday#, Team_Against, Home_Away, Match_Result, Word, TF-IDF
20, ベガルタ仙台, Home, Win, 伝え, 0.039
20, ベガルタ仙台, Home, Win, 結びつい, 0.033
20, ベガルタ仙台, Home, Win, 努力, 0.026
20, ベガルタ仙台, Home, Win, 全員, 0.021
20, ベガルタ仙台, Home, Win, プレス, 0.021
20, ベガルタ仙台, Home, Win, 後ろ, 0.019
20, ベガルタ仙台, Home, Win, コンディション, 0.019
20, ベガルタ仙台, Home, Win, ジュニオールサントス, 0.019
20, ベガルタ仙台, Home, Win, 姿勢, 0.019
21, 柏レイソル, Away, Win, 方向, 0.039
21, 柏レイソル, Away, Win, 行こ, 0.031
21, 柏レイソル, Away, Win, 逆転, 0.031
21, 柏レイソル, Away, Win, メンタリティー, 0.026
21, 柏レイソル, Away, Win, 最後, 0.024
21, 柏レイソル, Away, Win, 水曜日, 0.021
21, 柏レイソル, Away, Win, 素晴らしい, 0.018
21, 柏レイソル, Away, Win, アグレッシブ, 0.018
21, 柏レイソル, Away, Win, 聞い, 0.017
21, 柏レイソル, Away, Win, 意図, 0.017
22, サガン鳥栖, Home, Draw, シンプル, 0.069
22, サガン鳥栖, Home, Draw, おっしゃい, 0.034
22, サガン鳥栖, Home, Draw, 響い, 0.034
22, サガン鳥栖, Home, Draw, 不満, 0.034
22, サガン鳥栖, Home, Draw, プラン, 0.034
22, サガン鳥栖, Home, Draw, 勝ち負け, 0.034
22, サガン鳥栖, Home, Draw, 抜き, 0.034
22, サガン鳥栖, Home, Draw, 見え, 0.032
22, サガン鳥栖, Home, Draw, ９, 0.032
22, サガン鳥栖, Home, Draw, 変わり, 0.027
23, ヴィッセル神戸, Home, Lose, 最高, 0.035
23, ヴィッセル神戸, Home, Lose, ポジション, 0.029
23, ヴィッセル神戸, Home, Lose, そろっ, 0.023
23, ヴィッセル神戸, Home, Lose, パフォーマンス, 0.023
23, ヴィッセル神戸, Home, Lose, 内容, 0.023
23, ヴィッセル神戸, Home, Lose, ＣＢ, 0.02
23, ヴィッセル神戸, Home, Lose, 久々, 0.02
23, ヴィッセル神戸, Home, Lose, 扇原, 0.017
23, ヴィッセル神戸, Home, Lose, 皆さん, 0.017
23, ヴィッセル神戸, Home, Lose, 始まれ, 0.015
24, 大分トリニータ, Home, Win, 素晴らしい, 0.069
24, 大分トリニータ, Home, Win, ロング, 0.05
24, 大分トリニータ, Home, Win, 喜田, 0.026
24, 大分トリニータ, Home, Win, 角田, 0.025
24, 大分トリニータ, Home, Win, 梶川, 0.025
24, 大分トリニータ, Home, Win, 味わわ, 0.025
24, 大分トリニータ, Home, Win, 先日, 0.025
24, 大分トリニータ, Home, Win, 拾っ, 0.025
24, 大分トリニータ, Home, Win, 予定, 0.025
24, 大分トリニータ, Home, Win, 読ん, 0.025
25, ガンバ大阪, Away, Draw, 拾え, 0.068
25, ガンバ大阪, Away, Draw, 代える, 0.045
25, ガンバ大阪, Away, Draw, セカンド, 0.045
25, ガンバ大阪, Away, Draw, 最後, 0.042
25, ガンバ大阪, Away, Draw, キープ, 0.03
25, ガンバ大阪, Away, Draw, 繰り広げ, 0.026
25, ガンバ大阪, Away, Draw, 状態, 0.023
25, ガンバ大阪, Away, Draw, み, 0.023
25, ガンバ大阪, Away, Draw, 対, 0.023
25, ガンバ大阪, Away, Draw, フォワード, 0.023
26, セレッソ大阪, Away, Lose, スケジュール, 0.065
26, セレッソ大阪, Away, Lose, 強度, 0.031
26, セレッソ大阪, Away, Lose, 高い, 0.031
26, セレッソ大阪, Away, Lose, 最後, 0.029
26, セレッソ大阪, Away, Lose, どうこう, 0.027
26, セレッソ大阪, Away, Lose, タイト, 0.027
26, セレッソ大阪, Away, Lose, システム, 0.027
26, セレッソ大阪, Away, Lose, 疲れ, 0.024
26, セレッソ大阪, Away, Lose, 毎回, 0.023
26, セレッソ大阪, Away, Lose, さっき, 0.023
27, 名古屋グランパス, Home, Win, 素晴らしい, 0.045
27, 名古屋グランパス, Home, Win, ボックス, 0.039
27, 名古屋グランパス, Home, Win, 天野, 0.039
27, 名古屋グランパス, Home, Win, 全体, 0.027
27, 名古屋グランパス, Home, Win, 質, 0.026
27, 名古屋グランパス, Home, Win, 上げ, 0.026
27, 名古屋グランパス, Home, Win, 前節, 0.023
27, 名古屋グランパス, Home, Win, 出場, 0.02
27, 名古屋グランパス, Home, Win, 表わせ, 0.019
27, 名古屋グランパス, Home, Win, メーク, 0.019
28, FC東京, Away, Win, ＦＣ, 0.032
28, FC東京, Away, Win, 消化, 0.027
28, FC東京, Away, Win, 週間, 0.027
28, FC東京, Away, Win, スコア, 0.027
28, FC東京, Away, Win, 空い, 0.027
28, FC東京, Away, Win, 信じ, 0.023
28, FC東京, Away, Win, 成長, 0.021
28, FC東京, Away, Win, スケジュール, 0.018
28, FC東京, Away, Win, 多い, 0.018
28, FC東京, Away, Win, ウチ, 0.018
